PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-03-2020,2020,3,5,99.87,13885.67,23456.57,23486.67,100,2895.66,3.2
01-04-2020,2020,4,1,99.2,14169.3,24898.5,24868.2,100,2873.2,3.23
01-04-2020,2020,4,2,99.2,14169.3,24898.5,24868.2,100,2873.2,3.23
01-04-2020,2020,4,3,99.2,14169.3,24898.5,24868.2,100,2873.2,3.23
01-04-2020,2020,4,4,99.2,14169.3,24898.5,24868.2,100,2873.2,3.23
01-04-2020,2020,4,5,99.2,14169.3,24898.5,24868.2,100,2873.2,3.23
01-05-2020,2020,5,1,99.43,14380.2,25431.53,25459.77,100,3020.8,3.27
01-05-2020,2020,5,2,99.43,14380.2,25431.53,25459.77,100,3020.8,3.27
01-05-2020,2020,5,3,99.43,14380.2,25431.53,25459.77,100,3020.8,3.27
01-05-2020,2020,5,4,99.43,14380.2,25431.53,25459.77,100,3020.8,3.27
01-05-2020,2020,5,5,99.43,14380.2,25431.53,25459.77,100,3020.8,3.27
01-06-2020,2020,6,1,99.66,14591.1,25964.57,26051.33,100,3168.41,3.3
01-06-2020,2020,6,2,99.66,14591.1,25964.57,26051.33,100,3168.41,3.3
01-06-2020,2020,6,3,99.66,14591.1,25964.57,26051.33,100,3168.41,3.3
01-06-2020,2020,6,4,99.66,14591.1,25964.57,26051.33,100,3168.41,3.3
01-06-2020,2020,6,5,99.66,14591.1,25964.57,26051.33,100,3168.41,3.3
01-07-2020,2020,7,1,99.89,14802,26497.6,26642.9,100,3316.01,3.34
01-07-2020,2020,7,2,99.89,14802,26497.6,26642.9,100,3316.01,3.34
01-07-2020,2020,7,3,99.89,14802,26497.6,26642.9,100,3316.01,3.34
01-07-2020,2020,7,4,99.89,14802,26497.6,26642.9,100,3316.01,3.34
01-07-2020,2020,7,5,99.89,14802,26497.6,26642.9,100,3316.01,3.34
01-08-2020,2020,8,1,99.83,14912.47,27541.67,27564.63,100,3328.88,3.37
01-08-2020,2020,8,2,99.83,14912.47,27541.67,27564.63,100,3328.88,3.37
01-08-2020,2020,8,3,99.83,14912.47,27541.67,27564.63,100,3328.88,3.37
01-08-2020,2020,8,4,99.83,14912.47,27541.67,27564.63,100,3328.88,3.37
01-08-2020,2020,8,5,99.83,14912.47,27541.67,27564.63,100,3328.88,3.37
01-09-2020,2020,9,1,99.76,15022.93,28585.73,28486.37,100,3341.74,3.41
01-09-2020,2020,9,2,99.76,15022.93,28585.73,28486.37,100,3341.74,3.41
01-09-2020,2020,9,3,99.76,15022.93,28585.73,28486.37,100,3341.74,3.41
01-09-2020,2020,9,4,99.76,15022.93,28585.73,28486.37,100,3341.74,3.41
01-09-2020,2020,9,5,99.76,15022.93,28585.73,28486.37,100,3341.74,3.41
01-10-2020,2020,10,1,99.7,15133.4,29629.8,29408.1,100,3354.61,3.44
01-10-2020,2020,10,2,99.7,15133.4,29629.8,29408.1,100,3354.61,3.44
01-10-2020,2020,10,3,99.7,15133.4,29629.8,29408.1,100,3354.61,3.44
01-10-2020,2020,10,4,99.7,15133.4,29629.8,29408.1,100,3354.61,3.44
01-10-2020,2020,10,5,99.7,15133.4,29629.8,29408.1,100,3354.61,3.44
01-11-2020,2020,11,1,100.19,15138.7,28063.53,27777.43,100.01,3409.8,3.43
01-11-2020,2020,11,2,100.19,15138.7,28063.53,27777.43,100.01,3409.8,3.43
01-11-2020,2020,11,3,100.19,15138.7,28063.53,27777.43,100.01,3409.8,3.43
01-11-2020,2020,11,4,100.19,15138.7,28063.53,27777.43,100.01,3409.8,3.43
01-11-2020,2020,11,5,100.19,15138.7,28063.53,27777.43,100.01,3409.8,3.43
01-12-2020,2020,12,1,100.68,15144,26497.27,26146.77,100.02,3465,3.43
01-12-2020,2020,12,2,100.68,15144,26497.27,26146.77,100.02,3465,3.43
01-12-2020,2020,12,3,100.68,15144,26497.27,26146.77,100.02,3465,3.43
01-12-2020,2020,12,4,100.68,15144,26497.27,26146.77,100.02,3465,3.43
01-12-2020,2020,12,5,100.68,15144,26497.27,26146.77,100.02,3465,3.43
01-01-2021,2021,1,1,101.17,15149.3,24931,24516.1,100.03,3520.19,3.42
01-01-2021,2021,1,2,101.17,15149.3,24931,24516.1,100.03,3520.19,3.42
01-01-2021,2021,1,3,101.17,15149.3,24931,24516.1,100.03,3520.19,3.42
01-01-2021,2021,1,4,101.17,15149.3,24931,24516.1,100.03,3520.19,3.42
01-01-2021,2021,1,5,101.17,15149.3,24931,24516.1,100.03,3520.19,3.42
01-02-2021,2021,2,1,100.88,15269.5,26049.23,25288.3,100.66,3517.78,3.41
01-02-2021,2021,2,2,100.88,15269.5,26049.23,25288.3,100.66,3517.78,3.41
01-02-2021,2021,2,3,100.88,15269.5,26049.23,25288.3,100.66,3517.78,3.41
01-02-2021,2021,2,4,100.88,15269.5,26049.23,25288.3,100.66,3517.78,3.41
01-02-2021,2021,2,5,100.88,15269.5,26049.23,25288.3,100.66,3517.78,3.41
01-03-2021,2021,3,1,100.59,15389.7,27167.47,26060.5,101.3,3515.37,3.4
01-03-2021,2021,3,2,100.59,15389.7,27167.47,26060.5,101.3,3515.37,3.4
01-03-2021,2021,3,3,100.59,15389.7,27167.47,26060.5,101.3,3515.37,3.4
01-03-2021,2021,3,4,100.59,15389.7,27167.47,26060.5,101.3,3515.37,3.4
01-03-2021,2021,3,5,100.59,15389.7,27167.47,26060.5,101.3,3515.37,3.4
01-04-2021,2021,4,1,100.3,15509.9,28285.7,26832.7,101.93,3512.96,3.39
01-04-2021,2021,4,2,100.3,15509.9,28285.7,26832.7,101.93,3512.96,3.39
01-04-2021,2021,4,3,100.3,15509.9,28285.7,26832.7,101.93,3512.96,3.39
01-04-2021,2021,4,4,100.3,15509.9,28285.7,26832.7,101.93,3512.96,3.39
01-04-2021,2021,4,5,100.3,15509.9,28285.7,26832.7,101.93,3512.96,3.39
01-05-2021,2021,5,1,100.47,15621.67,28682.73,27213.5,101.59,3524.16,3.38
01-05-2021,2021,5,2,100.47,15621.67,28682.73,27213.5,101.59,3524.16,3.38
01-05-2021,2021,5,3,100.47,15621.67,28682.73,27213.5,101.59,3524.16,3.38
01-05-2021,2021,5,4,100.47,15621.67,28682.73,27213.5,101.59,3524.16,3.38
01-05-2021,2021,5,5,100.47,15621.67,28682.73,27213.5,101.59,3524.16,3.38
01-06-2021,2021,6,1,100.63,15733.43,29079.77,27594.3,101.25,3535.37,3.38
01-06-2021,2021,6,2,100.63,15733.43,29079.77,27594.3,101.25,3535.37,3.38
